"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
TRNQULTY.A,01/01/2019,29,53,0.00,0.00,"",""
TRNQULTY.A,01/02/2019,23,58,0.38,0.38,"",""
TRNQULTY.A,01/03/2019,25,58,0.39,0.76,"",""
TRNQULTY.A,01/04/2019,27,61,1.09,1.85,"",""
TRNQULTY.A,01/05/2019,37,59,0.74,2.59,"",""
TRNQULTY.A,01/06/2019,33,54,0.00,2.59,"",""
TRNQULTY.A,01/07/2019,52,67,5.08,7.67,"",""
TRNQULTY.A,01/08/2019,45,65,3.18,10.86,"",""
TRNQULTY.A,01/09/2019,45,65,3.18,14.04,"",""
TRNQULTY.A,01/10/2019,38,63,1.99,16.03,"",""
TRNQULTY.A,01/11/2019,29,50,0.00,16.03,"",""
TRNQULTY.A,01/12/2019,36,64,2.24,18.27,"",""
TRNQULTY.A,01/13/2019,31,62,1.45,19.72,"",""
TRNQULTY.A,01/14/2019,39,56,0.10,19.82,"",""
TRNQULTY.A,01/15/2019,44,57,0.34,20.16,"",""
TRNQULTY.A,01/16/2019,50,64,3.32,23.48,"",""
TRNQULTY.A,01/17/2019,48,66,3.94,27.42,"",""
TRNQULTY.A,01/18/2019,43,64,2.63,30.04,"",""
TRNQULTY.A,01/19/2019,39,67,3.50,33.54,"",""
TRNQULTY.A,01/20/2019,39,65,2.75,36.29,"",""
TRNQULTY.A,01/21/2019,39,58,0.51,36.81,"",""
TRNQULTY.A,01/22/2019,33,56,0.09,36.90,"",""
TRNQULTY.A,01/23/2019,30,61,1.14,38.04,"",""
TRNQULTY.A,01/24/2019,30,64,2.02,40.06,"",""
TRNQULTY.A,01/25/2019,31,64,2.05,42.12,"",""
TRNQULTY.A,01/26/2019,30,64,2.02,44.14,"",""
TRNQULTY.A,01/27/2019,35,65,2.54,46.68,"",""
TRNQULTY.A,01/28/2019,34,66,2.84,49.53,"",""
TRNQULTY.A,01/29/2019,38,66,3.06,52.58,"",""
TRNQULTY.A,01/30/2019,38,68,3.82,56.40,"",""
TRNQULTY.A,01/31/2019,42,68,4.14,60.54,"",""
TRNQULTY.A,02/01/2019,38,62,1.66,62.20,"",""
TRNQULTY.A,02/02/2019,49,64,3.19,65.38,"",""
TRNQULTY.A,02/03/2019,44,64,2.70,68.08,"",""
TRNQULTY.A,02/04/2019,41,61,1.44,69.52,"",""
TRNQULTY.A,02/05/2019,32,52,0.00,69.52,"",""
TRNQULTY.A,02/06/2019,26,55,0.00,69.52,"",""
TRNQULTY.A,02/07/2019,28,57,0.22,69.75,"",""
TRNQULTY.A,02/08/2019,27,59,0.61,70.35,"",""
TRNQULTY.A,02/09/2019,35,59,0.71,71.06,"",""
TRNQULTY.A,02/10/2019,33,53,0.00,71.06,"",""
TRNQULTY.A,02/11/2019,28,56,0.08,71.14,"",""
TRNQULTY.A,02/12/2019,27,50,0.00,71.14,"",""
TRNQULTY.A,02/13/2019,45,65,3.18,74.32,"",""
TRNQULTY.A,02/14/2019,42,69,4.55,78.87,"",""
TRNQULTY.A,02/15/2019,37,59,0.74,79.61,"",""
TRNQULTY.A,02/16/2019,36,57,0.26,79.88,"",""
TRNQULTY.A,02/17/2019,31,54,0.00,79.88,"",""
TRNQULTY.A,02/18/2019,30,53,0.00,79.88,"",""
TRNQULTY.A,02/19/2019,28,55,0.00,79.88,"",""
TRNQULTY.A,02/20/2019,29,57,0.23,80.10,"",""
TRNQULTY.A,02/21/2019,35,55,0.00,80.10,"",""
TRNQULTY.A,02/22/2019,31,56,0.09,80.19,"",""
TRNQULTY.A,02/23/2019,29,58,0.41,80.60,"1","1"
TRNQULTY.A,02/24/2019,31,63,1.74,82.35,"",""
TRNQULTY.A,02/25/2019,42,74,6.68,89.03,"",""
TRNQULTY.A,02/26/2019,47,70,5.58,94.61,"",""
TRNQULTY.A,02/27/2019,48,67,4.38,98.99,"",""
TRNQULTY.A,02/28/2019,41,64,2.50,101.49,"",""
TRNQULTY.A,03/01/2019,41,62,1.78,103.27,"",""
TRNQULTY.A,03/02/2019,51,72,7.26,110.52,"",""
TRNQULTY.A,03/03/2019,50,69,5.62,116.14,"",""
TRNQULTY.A,03/04/2019,50,64,3.32,119.46,"",""
TRNQULTY.A,03/05/2019,49,58,0.76,120.23,"",""
TRNQULTY.A,03/06/2019,46,70,5.44,125.67,"",""
TRNQULTY.A,03/07/2019,44,61,1.57,127.24,"",""
TRNQULTY.A,03/08/2019,38,58,0.50,127.74,"",""
TRNQULTY.A,03/09/2019,33,59,0.68,128.42,"",""
TRNQULTY.A,03/10/2019,36,61,1.28,129.70,"1","1"
TRNQULTY.A,03/11/2019,34,65,2.50,132.19,"",""
TRNQULTY.A,03/12/2019,34,70,4.31,136.50,"",""
TRNQULTY.A,03/13/2019,37,63,1.95,138.45,"",""
TRNQULTY.A,03/14/2019,35,64,2.20,140.65,"1","1"
TRNQULTY.A,03/15/2019,31,71,4.49,145.15,"",""
TRNQULTY.A,03/16/2019,34,73,5.48,150.62,"",""
TRNQULTY.A,03/17/2019,34,77,7.10,157.72,"",""
TRNQULTY.A,03/18/2019,44,70,5.19,162.91,"A","A"
TRNQULTY.A,03/19/2019,46,75,7.70,170.61,"1","1"
TRNQULTY.A,03/20/2019,47,64,2.96,173.57,"",""
TRNQULTY.A,03/21/2019,42,67,3.73,177.30,"",""
TRNQULTY.A,03/22/2019,36,68,3.68,180.98,"",""
TRNQULTY.A,03/23/2019,43,65,3.02,184.00,"",""
TRNQULTY.A,03/24/2019,34,69,3.93,187.93,"",""
TRNQULTY.A,03/25/2019,35,80,8.46,196.39,"",""
TRNQULTY.A,03/26/2019,47,73,6.95,203.33,"",""
